"","test_id","gene_id","gene","locus","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"828","XLOC_000828","XLOC_000828","Kcnj10","chr1:174271340-174304216","P0","Ad","OK",2.23048,0.370018,-2.59168,-2.26546,0.00915,0.0567364,"no"
"829","XLOC_000829","XLOC_000829","Pigm","chr1:174306661-174314230","P0","Ad","OK",6.37705,2.0812,-1.61547,-2.73458,1e-04,0.00193782,"yes"
"878","XLOC_000878","XLOC_000878","Kif26b","chr1:180459255-180862986","P0","Ad","OK",4.25055,0.594734,-2.83733,-3.76254,5e-05,0.00106929,"yes"
"903","XLOC_000903","XLOC_000903","Trp53bp2","chr1:184339302-184392563","P0","Ad","OK",7.84387,3.87816,-1.01619,-1.86506,0.0097,0.0585908,"no"
"906","XLOC_000906","XLOC_000906","Susd4","chr1:184693990-184826729","P0","Ad","OK",2.15387,0.168409,-3.67689,-1.57429,0.0037,0.0310726,"yes"
"932","XLOC_000932","XLOC_000932","Nsl1","chr1:192886890-192908437","P0","Ad","OK",3.06962,0.22657,-3.76003,-2.08211,0.00555,0.0408731,"yes"
"937","XLOC_000937","XLOC_000937","Ints7","chr1:193399641-193446551","P0","Ad","OK",10.169,3.52837,-1.5271,-2.64943,2e-04,0.00339928,"yes"
"939","XLOC_000939","XLOC_000939","Nek2","chr1:193645322-193656929","P0","Ad","OK",6.36697,0.0894714,-6.15304,-1.22285,0.00925,0.0571078,"no"
"1030","XLOC_001030","XLOC_001030","Mcm3","chr1:20793054-20810359","P0","Ad","OK",11.8077,1.99778,-2.56326,-3.8514,5e-05,0.00106929,"yes"
"1072","XLOC_001072","XLOC_001072","Prim2","chr1:33510655-33726631","P0","Ad","OK",7.85807,1.30221,-2.59322,-2.82559,0.00085,0.0105458,"yes"
"1133","XLOC_001133","XLOC_001133","Col5a2","chr1:45431165-45560127","P0","Ad","OK",43.1224,11.0514,-1.96421,-2.68727,5e-05,0.00106929,"yes"
"1137","XLOC_001137","XLOC_001137","Slc40a1","chr1:45964914-45982439","P0","Ad","OK",5.24495,1.66789,-1.65291,-2.1617,0.0042,0.0339697,"yes"
"1234","XLOC_001234","XLOC_001234","Akr1cl","chr1:65059262-65079333","P0","Ad","OK",15.3911,1.27645,-3.59189,-2.9803,0.00115,0.0131562,"yes"
"1250","XLOC_001250","XLOC_001250","Erbb4","chr1:68078759-69154633","P0","Ad","OK",10.1498,2.66227,-1.93072,-2.40506,8e-04,0.010048,"yes"
"1258","XLOC_001258","XLOC_001258","Bard1","chr1:71074071-71149720","P0","Ad","OK",2.32253,0.175416,-3.72684,-3.07904,0.0053,0.0398774,"yes"
"1261","XLOC_001261","XLOC_001261","Fn1","chr1:71632093-71709417","P0","Ad","OK",62.66,8.43293,-2.89344,-5.75565,5e-05,0.00106929,"yes"
"1306","XLOC_001306","XLOC_001306","Ap1s3","chr1:79603450-79668547","P0","Ad","OK",6.7634,2.02231,-1.74175,-2.13754,0.00265,0.0245409,"yes"
"1322","XLOC_001322","XLOC_001322","Sphkap","chr1:83250713-83404775","P0","Ad","OK",2.41034,0.0373157,-6.01331,-0.426249,0.0078,0.0511018,"no"
"1363","XLOC_001363","XLOC_001363","Hjurp","chr1:90123560-90174208","P0","Ad","OK",45.5082,4.25232,-3.4198,-3.03989,5e-05,0.00106929,"yes"
"1366","XLOC_001366","XLOC_001366","Arl4c","chr1:90569699-90598796","P0","Ad","OK",10.5391,2.89941,-1.86193,-3.0619,5e-05,0.00106929,"yes"
"1387","XLOC_001387","XLOC_001387","Kif1a","chr1:94912032-94998442","P0","Ad","OK",2.28064,0.251291,-3.18201,-3.40653,0.00045,0.00654015,"yes"
"1391","XLOC_001391","XLOC_001391","Pask","chr1:95205346-95270066","P0","Ad","OK",3.45177,0.379312,-3.18588,-0.927953,0.0077,0.0507502,"no"
"1448","XLOC_001448","XLOC_001448","Gli2","chr1:120730708-120950196","P0","Ad","OK",4.14302,0.346529,-3.57963,-1.3839,5e-04,0.00709313,"yes"
"1469","XLOC_001469","XLOC_001469","Nckap5","chr1:127810196-128727376","P0","Ad","OK",19.9635,1.10263,-4.17834,-3.34864,5e-05,0.00106929,"yes"
"1475","XLOC_001475","XLOC_001475","Mcm6","chr1:130228167-130256233","P0","Ad","OK",17.1981,3.06157,-2.48991,-4.05071,5e-05,0.00106929,"yes"
"1524","XLOC_001524","XLOC_001524","Ppfia4","chr1:136193359-136229505","P0","Ad","OK",6.24259,0.47085,-3.7288,-4.89154,5e-05,0.00106929,"yes"
"1539","XLOC_001539","XLOC_001539","Ipo9","chr1:137278888-137327076","P0","Ad","OK",28.5573,10.5612,-1.43508,-1.68142,0.00095,0.0114184,"yes"
"1540","XLOC_001540","XLOC_001540","Nav1","chr1:137331156-137496527","P0","Ad","OK",14.1763,4.54121,-1.64233,-3.29633,5e-05,0.00106929,"yes"
"1597","XLOC_001597","XLOC_001597","Hmcn1","chr1:152410656-152840565","P0","Ad","OK",16.2629,4.8483,-1.74603,-1.19445,0.00385,0.0319927,"yes"
"1602","XLOC_001602","XLOC_001602","Rnf2","chr1:153316535-153347953","P0","Ad","OK",18.2206,7.70088,-1.24247,-2.31025,0.00175,0.0180096,"yes"
"1607","XLOC_001607","XLOC_001607","Rgl1","chr1:154363888-154613481","P0","Ad","OK",26.5675,6.75086,-1.97652,-2.71862,5e-05,0.00106929,"yes"
"1635","XLOC_001635","XLOC_001635","Soat1","chr1:158358238-158404459","P0","Ad","OK",6.50583,1.60967,-2.01497,-2.90346,4e-04,0.0059161,"yes"
"1638","XLOC_001638","XLOC_001638","Ralgps2","chr1:158734296-158869757","P0","Ad","OK",9.28245,2.17845,-2.09121,-3.56633,5e-05,0.00106929,"yes"
"1652","XLOC_001652","XLOC_001652","Rabgap1l","chr1:162149304-162723069","P0","Ad","OK",61.4371,27.8189,-1.14304,-2.26884,0.0023,0.0221194,"yes"
"1694","XLOC_001694","XLOC_001694","Mpzl1","chr1:167522311-167564672","P0","Ad","OK",30.6071,13.6437,-1.16563,-2.24455,0.0022,0.021418,"yes"
"1715","XLOC_001715","XLOC_001715","Pbx1","chr1:170045374-170362401","P0","Ad","OK",91.0372,22.0602,-2.04501,-2.67465,0.00225,0.0217857,"yes"
"1721","XLOC_001721","XLOC_001721","Hsd17b7","chr1:171879665-171899372","P0","Ad","OK",4.19076,1.0709,-1.96839,-1.83302,0.0033,0.0286597,"yes"
"1725","XLOC_001725","XLOC_001725","Gm7694,Nos1ap","chr1:172231276-172519992","P0","Ad","OK",12.6749,3.97411,-1.67327,-1.85723,0.0079,0.0514023,"no"
"1753","XLOC_001753","XLOC_001753","Vangl2","chr1:173931090-173958575","P0","Ad","OK",4.96914,0.718131,-2.79068,-2.48787,1e-04,0.00193782,"yes"
"1758","XLOC_001758","XLOC_001758","Casq1","chr1:174140024-174150026","P0","Ad","OK",60.8513,15.4027,-1.98211,-3.24554,5e-05,0.00106929,"yes"
"1867","XLOC_001867","XLOC_001867","Vash2","chr1:192771526-192803175","P0","Ad","OK",22.5224,0.487844,-5.5288,-5.76719,5e-05,0.00106929,"yes"
"1881","XLOC_001881","XLOC_001881","Hhat","chr1:194336709-194597413","P0","Ad","OK",4.15111,0.911405,-2.18733,-2.0412,0.0086,0.0542951,"no"
"1890","XLOC_001890","XLOC_001890","Camk1g","chr1:195172539-195196491","P0","Ad","OK",3.48094,0.164929,-4.39956,-1.56226,9e-04,0.0109843,"yes"
"1939","XLOC_001939","XLOC_001939","Plagl1","chr10:12810496-12851500","P0","Ad","OK",83.3059,2.50278,-5.05682,-4.15361,5e-05,0.00106929,"yes"
"1955","XLOC_001955","XLOC_001955","Nhsl1","chr10:18110127-18253698","P0","Ad","OK",57.3319,5.07494,-3.49788,-2.75653,0.0028,0.0255644,"yes"
"2005","XLOC_002005","XLOC_002005","Epb4.1l2","chr10:25079603-25243320","P0","Ad","OK",20.889,10.8473,-0.94541,-1.93312,0.00715,0.0483559,"yes"
"2009","XLOC_002009","XLOC_002009","Arhgap18","chr10:26473226-26638454","P0","Ad","OK",43.2583,7.82509,-2.4668,-2.31673,0.0019,0.0191384,"yes"
"2012","XLOC_002012","XLOC_002012","Ptprk","chr10:27794625-28317203","P0","Ad","OK",58.2362,10.6301,-2.45376,-4.31141,5e-05,0.00106929,"yes"
"2022","XLOC_002022","XLOC_002022","Hddc2","chr10:31033187-31048010","P0","Ad","OK",10.3239,2.70431,-1.93265,-2.11946,0.00425,0.0342574,"yes"
"2041","XLOC_002041","XLOC_002041","Lama4","chr10:38685320-38829994","P0","Ad","OK",43.8285,21.181,-1.0491,-1.60411,0.0022,0.021418,"yes"
"2055","XLOC_002055","XLOC_002055","Wasf1","chr10:40603280-40658376","P0","Ad","OK",3.01595,0.486327,-2.63261,-2.45663,0.0068,0.0468792,"yes"
"2061","XLOC_002061","XLOC_002061","Mical1","chr10:41196119-41210175","P0","Ad","OK",14.8439,2.73482,-2.44035,-1.68587,5e-04,0.00709313,"yes"
"2081","XLOC_002081","XLOC_002081","Cd24a","chr10:43298974-43304068","P0","Ad","OK",12.9422,4.46352,-1.53583,-2.19205,0.00395,0.0326333,"yes"
"2110","XLOC_002110","XLOC_002110","Slc35f1","chr10:52410338-52831428","P0","Ad","OK",3.30933,0.714824,-2.21088,-2.45688,0.0037,0.0310726,"yes"
"2151","XLOC_002151","XLOC_002151","Pcbd1","chr10:60552090-60557076","P0","Ad","OK",8.36574,0.824076,-3.34364,-2.48806,0.0089,0.0555733,"no"
"2152","XLOC_002152","XLOC_002152","Tbata","chr10:60634701-60651589","P0","Ad","OK",22.4009,0.858807,-4.70508,-3.51539,5e-05,0.00106929,"yes"
"2172","XLOC_002172","XLOC_002172","Dna2","chr10:62409773-62436933","P0","Ad","OK",3.12508,0.652689,-2.25942,-1.90732,0.00515,0.0391416,"yes"
"2181","XLOC_002181","XLOC_002181","Ctnna3","chr10:62892845-64466415","P0","Ad","OK",75.163,10.8551,-2.79165,-4.75132,5e-05,0.00106929,"yes"
"2188","XLOC_002188","XLOC_002188","Rtkn2","chr10:67442317-67522488","P0","Ad","OK",1.80918,0.0729245,-4.63279,-1.06031,2e-04,0.00339928,"yes"
"2233","XLOC_002233","XLOC_002233","Lss","chr10:75994332-76024971","P0","Ad","OK",6.93153,0.884285,-2.97059,-1.75869,2e-04,0.00339928,"yes"
"2281","XLOC_002281","XLOC_002281","Ptbp1","chr10:79314125-79345919","P0","Ad","OK",46.4437,20.5027,-1.17967,-1.64479,0.00875,0.0548049,"no"
"2298","XLOC_002298","XLOC_002298","Cirbp","chr10:79628729-79635531","P0","Ad","OK",67.4857,31.336,-1.10676,-2.05872,0.00235,0.0224789,"yes"
"2317","XLOC_002317","XLOC_002317","Dot1l","chr10:80217950-80258206","P0","Ad","OK",29.9638,14.9209,-1.00589,-1.63302,0.00935,0.0575009,"no"
"2419","XLOC_002419","XLOC_002419","Lta4h","chr10:92916140-92947641","P0","Ad","OK",43.2225,10.877,-1.9905,-3.79487,5e-05,0.00106929,"yes"
"2442","XLOC_002442","XLOC_002442","Btg1","chr10:96079634-96085447","P0","Ad","OK",21.5596,6.15578,-1.80832,-3.50084,5e-05,0.00106929,"yes"
"2478","XLOC_002478","XLOC_002478","Gm15662","chr10:104624718-105020930","P0","Ad","OK",6087.9,1168.91,-2.38078,-3.72982,5e-05,0.00106929,"yes"
"2490","XLOC_002490","XLOC_002490","E2f7","chr10:110182494-110224440","P0","Ad","OK",8.63138,0.396363,-4.4447,-2.22303,0.00015,0.00273203,"yes"
"2492","XLOC_002492","XLOC_002492","Csrp2","chr10:110357231-110376678","P0","Ad","OK",75.3701,26.9464,-1.4839,-2.7766,1e-04,0.00193782,"yes"
"2581","XLOC_002581","XLOC_002581","Prim1","chr10:127452227-127467093","P0","Ad","OK",5.32456,0.96921,-2.45778,-2.1325,0.0065,0.0453821,"yes"
"2593","XLOC_002593","XLOC_002593","Pan2","chr10:127740390-127758403","P0","Ad","OK",9.88303,3.96844,-1.31638,-2.4235,0.00105,0.0122183,"yes"
"2651","XLOC_002651","XLOC_002651","1700052N19Rik","chr10:5891399-5914074","P0","Ad","OK",10.8081,4.35307,-1.31201,-1.9499,0.0036,0.0304482,"yes"
"2653","XLOC_002653","XLOC_002653","Akap12","chr10:5987072-6080212","P0","Ad","OK",20.3466,9.27025,-1.13411,-2.36063,0.00125,0.0139747,"yes"
"2658","XLOC_002658","XLOC_002658","Plekhg1","chr10:6379237-6606177","P0","Ad","OK",9.05021,3.15724,-1.51929,-1.89239,0.00955,0.0580788,"no"
"2690","XLOC_002690","XLOC_002690","Phactr2","chr10:12933200-13194202","P0","Ad","OK",28.8071,15.278,-0.914973,-1.83075,0.00905,0.0562387,"no"
"2695","XLOC_002695","XLOC_002695","Gpr126","chr10:14122390-14264842","P0","Ad","OK",3.1789,0.507146,-2.64806,-3.29543,0.00025,0.00406943,"yes"
"2702","XLOC_002702","XLOC_002702","3110003A17Rik","chr10:17731068-17743058","P0","Ad","OK",75.6833,27.0439,-1.48467,-2.47366,0.00085,0.0105458,"yes"
"2722","XLOC_002722","XLOC_002722","Tcf21","chr10:22537084-22539934","P0","Ad","OK",19.1831,6.43211,-1.57647,-2.27515,0.0043,0.0345626,"yes"
"2762","XLOC_002762","XLOC_002762","Hey2","chr10:30552164-30562607","P0","Ad","OK",39.2401,2.22665,-4.13938,-5.87475,5e-05,0.00106929,"yes"
"2785","XLOC_002785","XLOC_002785","Marcks","chr10:36853048-36858732","P0","Ad","OK",73.8527,17.0484,-2.11502,-4.29368,5e-05,0.00106929,"yes"
"2792","XLOC_002792","XLOC_002792","E130307A14Rik","chr10:39088660-39451813","P0","Ad","OK",47.0609,4.46485,-3.39785,-1.44476,0.0012,0.0135755,"yes"
"2855","XLOC_002855","XLOC_002855","Fam184a","chr10:53352950-53470715","P0","Ad","OK",2.11456,0.310468,-2.76784,-0.926363,0.00855,0.0540274,"no"
"2884","XLOC_002884","XLOC_002884","Unc5b","chr10:60225357-60294329","P0","Ad","OK",11.7819,5.64123,-1.06249,-2.10162,0.00325,0.0283812,"yes"
"2889","XLOC_002889","XLOC_002889","Adamts14","chr10:60659859-60736186","P0","Ad","OK",2.28985,0.62308,-1.87776,-2.27871,0.00385,0.0319927,"yes"
"2894","XLOC_002894","XLOC_002894","Col13a1","chr10:61300983-61441856","P0","Ad","OK",1.12962,0.307037,-1.87935,-1.31008,0.0063,0.0443773,"yes"
"2908","XLOC_002908","XLOC_002908","Tet1","chr10:62267317-62361866","P0","Ad","OK",5.53928,1.66304,-1.73588,-1.46197,7e-04,0.00911344,"yes"
"2929","XLOC_002929","XLOC_002929","Arid5b","chr10:67558340-67741474","P0","Ad","OK",11.7294,4.26419,-1.45979,-2.62216,0.00025,0.00406943,"yes"
"2930","XLOC_002930","XLOC_002930","1700040L02Rik","chr10:67893700-68004644","P0","Ad","OK",60.8337,15.533,-1.96953,-2.77962,5e-04,0.00709313,"yes"
"2932","XLOC_002932","XLOC_002932","Cdk1","chr10:68799382-68815686","P0","Ad","OK",24.7901,1.09338,-4.5029,-2.70747,0.00035,0.00529761,"yes"
"2937","XLOC_002937","XLOC_002937","Bicc1","chr10:70331416-70622448","P0","Ad","OK",21.2612,10.2197,-1.05688,-2.06289,0.00455,0.0359632,"yes"
"2971","XLOC_002971","XLOC_002971","Col18a1","chr10:76494985-76629293","P0","Ad","OK",42.7526,3.42877,-3.64025,-5.17568,5e-05,0.00106929,"yes"
"3026","XLOC_003026","XLOC_003026","Tcf3","chr10:79872258-79896392","P0","Ad","OK",17.9121,8.94616,-1.00159,-1.72593,0.00905,0.0562387,"no"
"3085","XLOC_003085","XLOC_003085","Aldh1l2","chr10:82950194-82996885","P0","Ad","OK",5.64207,1.92349,-1.5525,-1.94241,0.00055,0.00757606,"yes"
"3088","XLOC_003088","XLOC_003088","Ckap4","chr10:83989049-83996781","P0","Ad","OK",44.5674,18.272,-1.28635,-2.60131,0.00025,0.00406943,"yes"
"3122","XLOC_003122","XLOC_003122","Gas2l3","chr10:88871567-88906712","P0","Ad","OK",6.19914,0.38207,-4.02016,-4.61054,0.00015,0.00273203,"yes"
"3129","XLOC_003129","XLOC_003129","Apaf1","chr10:90452055-90545515","P0","Ad","OK",6.79398,2.20467,-1.6237,-1.36441,0.00645,0.0451881,"yes"
"3132","XLOC_003132","XLOC_003132","Tmpo","chr10:90610315-90634759","P0","Ad","OK",43.2396,12.1548,-1.83083,-3.52986,5e-05,0.00106929,"yes"
"3151","XLOC_003151","XLOC_003151","Plxnc1","chr10:94253616-94407212","P0","Ad","OK",2.22579,0.751992,-1.56553,-1.9563,0.00785,0.0512174,"no"
"3154","XLOC_003154","XLOC_003154","Cradd","chr10:94637379-94786767","P0","Ad","OK",16.8893,5.99005,-1.49547,-2.05586,0.00785,0.0512174,"no"
"3155","XLOC_003155","XLOC_003155","Socs2","chr10:94847995-94879814","P0","Ad","OK",41.8471,18.4816,-1.17903,-1.78963,0.0016,0.0168432,"yes"
"3186","XLOC_003186","XLOC_003186","Rps15a-ps1","chr10:105629433-105629826","P0","Ad","OK",19.727,0,-Inf,NA,5e-05,0.00106929,"yes"
"3205","XLOC_003205","XLOC_003205","Atxn7l3b","chr10:112362493-112366082","P0","Ad","OK",49.2911,18.2456,-1.43378,-2.84696,2e-04,0.00339928,"yes"
"3242","XLOC_003242","XLOC_003242","Dyrk2","chr10:118296404-118305959","P0","Ad","OK",22.3046,8.79374,-1.34279,-2.3476,9e-04,0.0109843,"yes"
"3261","XLOC_003261","XLOC_003261","Srgap1","chr10:121218046-121484371","P0","Ad","OK",9.12852,0.780891,-3.54719,-3.41522,5e-05,0.00106929,"yes"
"3280","XLOC_003280","XLOC_003280","Mbd6","chr10:126719011-126726737","P0","Ad","OK",20.349,7.67445,-1.40682,-1.99134,0.00365,0.030798,"yes"
"3318","XLOC_003318","XLOC_003318","Cdk2","chr10:128134994-128142107","P0","Ad","OK",18.6099,5.2798,-1.81752,-3.03496,0.00025,0.00406943,"yes"
"3323","XLOC_003323","XLOC_003323","Gdf11","chr10:128319350-128328774","P0","Ad","OK",3.11517,0.83745,-1.89524,-2.34174,0.0039,0.032314,"yes"
"3366","XLOC_003366","XLOC_003366","Pisd-ps1","chr11:3025906-3031007","P0","Ad","OK",20.5666,4.29905,-2.25821,-2.7665,0.00035,0.00529761,"yes"
"3422","XLOC_003422","XLOC_003422","Ppia","chr11:6315445-6319820","P0","Ad","OK",225.46,74.3975,-1.59955,-2.10935,0.0033,0.0286597,"yes"
"3432","XLOC_003432","XLOC_003432","Upp1","chr11:9018105-9036173","P0","Ad","OK",24.1037,3.81921,-2.65791,-2.86466,5e-05,0.00106929,"yes"
"3514","XLOC_003514","XLOC_003514","Bcl11a","chr11:23978055-24074123","P0","Ad","OK",10.2735,1.28397,-3.00025,-2.98213,5e-05,0.00106929,"yes"
"3549","XLOC_003549","XLOC_003549","Rtn4","chr11:29592946-29926033","P0","Ad","OK",268.104,65.6718,-2.02945,-2.27337,0.0053,0.0398774,"yes"
"3575","XLOC_003575","XLOC_003575","Sh3pxd2b","chr11:32247819-32328173","P0","Ad","OK",12.2036,2.12298,-2.52314,-4.06888,5e-05,0.00106929,"yes"
"3589","XLOC_003589","XLOC_003589","Lcp2","chr11:33529338-33998554","P0","Ad","OK",12.1781,0.768209,-3.98665,-2.73206,0.00535,0.0401264,"yes"
"3595","XLOC_003595","XLOC_003595","Slit3","chr11:34934725-35522009","P0","Ad","OK",35.784,4.63171,-2.9497,-2.95452,0.0038,0.0317067,"yes"
"3601","XLOC_003601","XLOC_003601","Gm12124","chr11:35606282-35606961","P0","Ad","OK",3.90244,0,-Inf,NA,5e-05,0.00106929,"yes"
"3627","XLOC_003627","XLOC_003627","4933415A04Rik,Ccnjl","chr11:43342285-43402550","P0","Ad","OK",6.88615,0.796087,-3.1127,-2.84446,0.00025,0.00406943,"yes"
"3635","XLOC_003635","XLOC_003635","Rnf145","chr11:44332465-44379022","P0","Ad","OK",19.8693,5.72954,-1.79405,-1.85687,0.00825,0.0528111,"no"
"3646","XLOC_003646","XLOC_003646","Adam19","chr11:45868003-45960845","P0","Ad","OK",22.3144,5.02013,-2.15218,-2.95671,5e-05,0.00106929,"yes"
"3654","XLOC_003654","XLOC_003654","Rpl9-ps2","chr11:46375532-46376109","P0","Ad","OK",1.71762,0,-Inf,NA,0.00575,0.041509,"yes"
"3707","XLOC_003707","XLOC_003707","Adamts2","chr11:50412799-50621075","P0","Ad","OK",26.1997,7.51387,-1.80192,-2.18573,0.0097,0.0585908,"no"
"3724","XLOC_003724","XLOC_003724","Col23a1","chr11:51103421-51397420","P0","Ad","OK",2.3067,0.643731,-1.8413,-1.72371,0.008,0.0518163,"no"
"3741","XLOC_003741","XLOC_003741","Fstl4","chr11:52578135-53002040","P0","Ad","OK",6.40801,1.44673,-2.14709,-2.83943,0.00115,0.0131562,"yes"
"3788","XLOC_003788","XLOC_003788","Mfap3","chr11:57332165-57347317","P0","Ad","OK",12.6325,4.22167,-1.58126,-2.78255,1e-04,0.00193782,"yes"
"3832","XLOC_003832","XLOC_003832","Hist3h2a,Trim17","chr11:58768186-58791552","P0","Ad","OK",21.0791,8.75181,-1.26816,-1.99209,0.0055,0.0407154,"yes"
"3882","XLOC_003882","XLOC_003882","Specc1","chr11:61770280-62036515","P0","Ad","OK",2.77312,1.11281,-1.3173,-1.94354,0.0071,0.048132,"yes"
"3897","XLOC_003897","XLOC_003897","Mmgt2","chr11:62462165-62479856","P0","Ad","OK",17.6635,2.31851,-2.9295,-2.33667,5e-05,0.00106929,"yes"
"3938","XLOC_003938","XLOC_003938","Stx8","chr11:67779694-68020650","P0","Ad","OK",94.9827,18.2211,-2.38205,-3.21794,3e-04,0.00470584,"yes"
"3945","XLOC_003945","XLOC_003945","Myh10","chr11:68505060-68630134","P0","Ad","OK",40.2169,12.9953,-1.62981,-1.90547,7e-04,0.00911344,"yes"
"3951","XLOC_003951","XLOC_003951","1500010J02Rik","chr11:68829412-68849975","P0","Ad","OK",24.3121,5.79317,-2.06925,-1.93389,0.00845,0.0535856,"no"
"3952","XLOC_003952","XLOC_003952","Aurkb","chr11:68859148-68865166","P0","Ad","OK",8.80017,0.390253,-4.49505,-1.89601,0.00015,0.00273203,"yes"
"3995","XLOC_003995","XLOC_003995","Slc16a11","chr11:70026253-70029919","P0","Ad","OK",2.28518,0.354201,-2.68967,-0.851935,0.0057,0.041509,"yes"
"4023","XLOC_004023","XLOC_004023","Fam64a","chr11:71855533-71860872","P0","Ad","OK",6.77079,0.146926,-5.52616,-1.43267,0.0015,0.0160274,"yes"
"4085","XLOC_004085","XLOC_004085","Rtn4rl1","chr11:75007284-75081271","P0","Ad","OK",16.3263,4.36221,-1.90407,-3.30284,5e-05,0.00106929,"yes"
"4146","XLOC_004146","XLOC_004146","Spag5","chr11:78115030-78135959","P0","Ad","OK",5.41102,0.366728,-3.88312,-1.42736,0.00095,0.0114184,"yes"
"4147","XLOC_004147","XLOC_004147","Aldoc","chr11:78136469-78141283","P0","Ad","OK",9.08946,0.157599,-5.84987,-1.35642,0.0046,0.0362578,"yes"
