"","test_id","gene_id","gene","locus","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"852","XLOC_000852","XLOC_000852","Spna1","chr1:176102906-176178581","P0","Ad","OK",0.337458,1.10474,1.71092,2.01336,0.0076,0.0503239,"no"
"877","XLOC_000877","XLOC_000877","Efcab2","chr1:180336011-180413378","P0","Ad","OK",6.12228,43.5191,2.82951,4.94686,5e-05,0.00106929,"yes"
"881","XLOC_000881","XLOC_000881","Cnst","chr1:181476500-181557609","P0","Ad","OK",11.5488,23.8678,1.04733,1.90613,0.0028,0.0255644,"yes"
"938","XLOC_000938","XLOC_000938","Lpgat1","chr1:193541712-193608134","P0","Ad","OK",22.3166,44.1773,0.98519,1.55911,0.00355,0.0301867,"yes"
"994","XLOC_000994","XLOC_000994","Slco5a1","chr1:12856629-12981258","P0","Ad","OK",0.566633,5.5936,3.30329,2.09427,2e-04,0.00339928,"yes"
"999","XLOC_000999","XLOC_000999","Lactb2","chr1:13614925-13650627","P0","Ad","OK",7.01108,14.5604,1.05434,1.84591,0.00955,0.0580788,"no"
"1043","XLOC_001043","XLOC_001043","1110058L19Rik","chr1:24002777-24012495","P0","Ad","OK",22.0243,55.8545,1.34258,2.22491,0.0018,0.0184045,"yes"
"1048","XLOC_001048","XLOC_001048","Gm10925","chr1:24620813-24621627","P0","Ad","OK",384.207,1687.87,2.13525,3.64376,5e-05,0.00106929,"yes"
"1090","XLOC_001090","XLOC_001090","Ankrd23","chr1:36587378-36592584","P0","Ad","OK",18.3662,255.903,3.80047,7.04542,5e-05,0.00106929,"yes"
"1098","XLOC_001098","XLOC_001098","6330578E17Rik","chr1:37473928-37486948","P0","Ad","OK",45.4682,86.6339,0.930072,1.92019,0.0067,0.0464596,"yes"
"1125","XLOC_001125","XLOC_001125","Fhl2","chr1:43179918-43220806","P0","Ad","OK",291.238,1492.54,2.3575,4.31991,5e-05,0.00106929,"yes"
"1145","XLOC_001145","XLOC_001145","Obfc2a","chr1:51526341-51535243","P0","Ad","OK",11.0167,23.8604,1.11493,2.12773,0.0034,0.0292252,"yes"
"1152","XLOC_001152","XLOC_001152","Mfsd6","chr1:52713129-52784306","P0","Ad","OK",3.59818,8.06806,1.16495,2.01372,0.00385,0.0319927,"yes"
"1191","XLOC_001191","XLOC_001191","Trak2","chr1:58957292-59030274","P0","Ad","OK",37.0911,105.239,1.50452,2.37389,5e-05,0.00106929,"yes"
"1247","XLOC_001247","XLOC_001247","Myl1","chr1:66970868-66991978","P0","Ad","OK",19.4232,104.183,2.42327,4.37139,5e-05,0.00106929,"yes"
"1263","XLOC_001263","XLOC_001263","Mreg","chr1:72205806-72258881","P0","Ad","OK",3.74128,14.8242,1.98635,3.04277,1e-04,0.00193782,"yes"
"1288","XLOC_001288","XLOC_001288","Atg9a","chr1:75177439-75188497","P0","Ad","OK",12.9568,37.5485,1.53504,3.07652,5e-05,0.00106929,"yes"
"1290","XLOC_001290","XLOC_001290","Tuba4a","chr1:75207412-75215828","P0","Ad","OK",28.468,397.652,3.8041,6.25588,5e-05,0.00106929,"yes"
"1376","XLOC_001376","XLOC_001376","Per2","chr1:93312560-93355907","P0","Ad","OK",2.64604,5.87889,1.15171,2.00254,0.00485,0.0377272,"yes"
"1379","XLOC_001379","XLOC_001379","Ndufa10","chr1:94335586-94370437","P0","Ad","OK",160.881,362.001,1.17,2.22472,0.00105,0.0122183,"yes"
"1392","XLOC_001392","XLOC_001392","Hdlbp","chr1:95302516-95375385","P0","Ad","OK",54.5892,146.061,1.41989,2.69783,3e-04,0.00470584,"yes"
"1476","XLOC_001476","XLOC_001476","Dars","chr1:130260284-130313993","P0","Ad","OK",17.2395,38.7798,1.16959,2.13682,0.00215,0.0210031,"yes"
"1486","XLOC_001486","XLOC_001486","Cd55","chr1:132335603-132453652","P0","Ad","OK",2.32429,7.16368,1.62391,1.91251,0.00615,0.043601,"yes"
"1490","XLOC_001490","XLOC_001490","Pfkfb2","chr1:132585619-132625830","P0","Ad","OK",6.58663,34.3878,2.38429,4.0083,5e-05,0.00106929,"yes"
"1495","XLOC_001495","XLOC_001495","Mapkapk2","chr1:132950280-132994144","P0","Ad","OK",69.2323,231.248,1.73992,3.45478,5e-05,0.00106929,"yes"
"1504","XLOC_001504","XLOC_001504","Cdk18","chr1:134010126-134036262","P0","Ad","OK",2.39217,8.47154,1.8243,2.36045,0.0033,0.0286597,"yes"
"1520","XLOC_001520","XLOC_001520","Prelp","chr1:135793772-135817991","P0","Ad","OK",6.26912,19.9386,1.66923,2.57755,0.00035,0.00529761,"yes"
"1571","XLOC_001571","XLOC_001571","Cfh","chr1:141982431-142079988","P0","Ad","OK",4.04434,33.3384,3.04321,5.28723,5e-05,0.00106929,"yes"
"1596","XLOC_001596","XLOC_001596","Prg4","chr1:152208434-152313295","P0","Ad","OK",0.2982,5.98842,4.32783,0.679149,0.0049,0.0379917,"yes"
"1627","XLOC_001627","XLOC_001627","Gm5532","chr1:157367302-157374241","P0","Ad","OK",3.07901,62.136,4.33489,6.07459,5e-05,0.00106929,"yes"
"1659","XLOC_001659","XLOC_001659","Prdx6","chr1:163170242-163181350","P0","Ad","OK",54.313,128.358,1.24081,2.23011,0.0021,0.0206706,"yes"
"1673","XLOC_001673","XLOC_001673","Fmo2","chr1:164804447-164828857","P0","Ad","OK",1.06156,14.5132,3.77311,3.91741,5e-05,0.00106929,"yes"
"1685","XLOC_001685","XLOC_001685","Atp1b1","chr1:166367397-166388486","P0","Ad","OK",134.037,258.799,0.949197,1.89689,0.0084,0.0533398,"no"
"1711","XLOC_001711","XLOC_001711","Uck2","chr1:169156220-169215258","P0","Ad","OK",10.1962,23.5899,1.21013,2.03702,0.0077,0.0507502,"no"
"1713","XLOC_001713","XLOC_001713","Mgst3","chr1:169302096-169323972","P0","Ad","OK",55.9297,190.969,1.77165,3.47779,5e-05,0.00106929,"yes"
"1718","XLOC_001718","XLOC_001718","Rgs4","chr1:171671607-171677773","P0","Ad","OK",3.00312,10.5704,1.81549,2.55651,0.00105,0.0122183,"yes"
"1726","XLOC_001726","XLOC_001726","Atf6","chr1:172634587-172797902","P0","Ad","OK",11.7974,26.5202,1.16862,2.41601,0.00065,0.00858808,"yes"
"1732","XLOC_001732","XLOC_001732","Gm2962","chr1:172847706-172857714","P0","Ad","OK",62.8492,196.92,1.64764,2.55816,5e-04,0.00709313,"yes"
"1760","XLOC_001760","XLOC_001760","Atp1a2","chr1:174191771-174249972","P0","Ad","OK",22.4396,174.682,2.96061,4.91797,5e-05,0.00106929,"yes"
"1775","XLOC_001775","XLOC_001775","Cadm3","chr1:175264384-175396171","P0","Ad","OK",0.281173,3.10718,3.46608,1.68752,0.00825,0.0528111,"no"
"1780","XLOC_001780","XLOC_001780","AI607873","chr1:175653813-175671878","P0","Ad","OK",0.752426,4.90039,2.70328,3.20558,6e-04,0.00810028,"yes"
"1785","XLOC_001785","XLOC_001785","Ifi202b","chr1:175892699-175912975","P0","Ad","OK",0.876935,7.0881,3.01486,3.18612,0.00125,0.0139747,"yes"
"1786","XLOC_001786","XLOC_001786","Ifi205","chr1:175942128-175961886","P0","Ad","OK",0,1.76683,Inf,NA,5e-05,0.00106929,"yes"
"1809","XLOC_001809","XLOC_001809","Tfb2m","chr1:181458185-181476398","P0","Ad","OK",4.49808,13.4223,1.57725,2.25199,0.00145,0.0156814,"yes"
"1811","XLOC_001811","XLOC_001811","Adck3","chr1:181890602-182129733","P0","Ad","OK",78.5459,334.576,2.09073,2.12443,0.00025,0.00406943,"yes"
"1819","XLOC_001819","XLOC_001819","Ephx1","chr1:182906285-182951035","P0","Ad","OK",3.92263,20.0761,2.35559,2.72575,0.00065,0.00858808,"yes"
"1822","XLOC_001822","XLOC_001822","Rpl35a-ps2","chr1:183172075-183172498","P0","Ad","OK",4.3541,30.847,2.82468,2.85021,0.0074,0.049506,"yes"
"1872","XLOC_001872","XLOC_001872","Nenf","chr1:193130667-193142073","P0","Ad","OK",40.6807,82.8278,1.02577,1.94659,0.0087,0.0547324,"no"
"1889","XLOC_001889","XLOC_001889","G0s2","chr1:195098354-195099382","P0","Ad","OK",13.5979,41.3699,1.6052,2.61158,0.00065,0.00858808,"yes"
"1931","XLOC_001931","XLOC_001931","Epm2a","chr10:11063201-11179442","P0","Ad","OK",6.41068,15.6462,1.28726,1.97756,0.00265,0.0245409,"yes"
"1940","XLOC_001940","XLOC_001940","Fuca2","chr10:13219345-13238841","P0","Ad","OK",115.93,361.921,1.64242,2.4281,6e-04,0.00810028,"yes"
"1942","XLOC_001942","XLOC_001942","Hivep2","chr10:13686184-13871182","P0","Ad","OK",2.9249,6.18429,1.08022,2.06537,0.00405,0.0332665,"yes"
"1950","XLOC_001950","XLOC_001950","Txlnb","chr10:17512911-17565471","P0","Ad","OK",34.5365,131.229,1.92589,3.75851,5e-05,0.00106929,"yes"
"1958","XLOC_001958","XLOC_001958","Ifngr1","chr10:19311754-19330035","P0","Ad","OK",12.6055,27.9045,1.14644,1.97016,0.0026,0.0242672,"yes"
"2067","XLOC_002067","XLOC_002067","Sesn1","chr10:41530379-41628230","P0","Ad","OK",21.4769,60.5483,1.4953,3.00498,5e-05,0.00106929,"yes"
"2084","XLOC_002084","XLOC_002084","Rtn4ip1","chr10:43621612-43667668","P0","Ad","OK",21.6628,48.8453,1.173,2.3866,0.00075,0.00956334,"yes"
"2108","XLOC_002108","XLOC_002108","Nus1","chr10:52137352-52159998","P0","Ad","OK",11.9635,24.6595,1.04351,1.94061,0.00245,0.0231555,"yes"
"2112","XLOC_002112","XLOC_002112","Pln","chr10:53016059-53068936","P0","Ad","OK",1045.79,3480.79,1.73482,2.53401,0.00035,0.00529761,"yes"
"2135","XLOC_002135","XLOC_002135","P4ha1","chr10:58786043-58836052","P0","Ad","OK",9.50913,37.0811,1.9633,3.56561,5e-05,0.00106929,"yes"
"2146","XLOC_002146","XLOC_002146","Psap","chr10:59740374-59765345","P0","Ad","OK",180.875,665.822,1.88014,3.50736,5e-05,0.00106929,"yes"
"2157","XLOC_002157","XLOC_002157","Lrrc20","chr10:60937992-61044974","P0","Ad","OK",9.15634,21.3268,1.21983,2.24943,0.00155,0.0164383,"yes"
"2159","XLOC_002159","XLOC_002159","Ppa1","chr10:61111299-61136916","P0","Ad","OK",15.0562,39.1119,1.37725,2.44563,8e-04,0.010048,"yes"
"2191","XLOC_002191","XLOC_002191","Rhobtb1","chr10:68614181-68754539","P0","Ad","OK",16.7303,73.1498,2.12839,2.38778,5e-05,0.00106929,"yes"
"2221","XLOC_002221","XLOC_002221","Chchd10","chr10:75385966-75403417","P0","Ad","OK",276.089,768.87,1.4776,2.94897,5e-05,0.00106929,"yes"
"2240","XLOC_002240","XLOC_002240","Itgb2","chr10:76992996-77028453","P0","Ad","OK",0.388337,3.59916,3.21228,1.64279,0.00275,0.0252862,"yes"
"2252","XLOC_002252","XLOC_002252","Icosl","chr10:77532104-77546000","P0","Ad","OK",0.927321,5.66595,2.61118,2.95293,9e-04,0.0109843,"yes"
"2273","XLOC_002273","XLOC_002273","Cdc34","chr10:79144939-79151139","P0","Ad","OK",40.1949,92.6098,1.20415,2.45469,8e-04,0.010048,"yes"
"2275","XLOC_002275","XLOC_002275","Bsg","chr10:79167102-79174724","P0","Ad","OK",275.531,822.836,1.57839,3.04824,5e-05,0.00106929,"yes"
"2276","XLOC_002276","XLOC_002276","Hcn2","chr10:79179378-79198853","P0","Ad","OK",1.22388,22.1774,4.17955,5.27657,5e-05,0.00106929,"yes"
"2284","XLOC_002284","XLOC_002284","Cfd","chr10:79353597-79355401","P0","Ad","OK",0,1.08854,Inf,NA,6e-04,0.00810028,"yes"
"2302","XLOC_002302","XLOC_002302","Ndufs7","chr10:79711865-79719539","P0","Ad","OK",264.638,765.284,1.53198,3.1481,5e-05,0.00106929,"yes"
"2336","XLOC_002336","XLOC_002336","Apba3","chr10:80730916-80754012","P0","Ad","OK",11.1764,39.1901,1.81003,3.35843,5e-05,0.00106929,"yes"
"2346","XLOC_002346","XLOC_002346","Aes","chr10:81022238-81029107","P0","Ad","OK",263.758,563.654,1.0956,2.14967,0.002,0.0198925,"yes"
"2367","XLOC_002367","XLOC_002367","Tcp11l2","chr10:84039370-84077104","P0","Ad","OK",18.1477,42.8263,1.23871,2.35942,7e-04,0.00911344,"yes"
"2371","XLOC_002371","XLOC_002371","Ric8b","chr10:84380360-84479191","P0","Ad","OK",8.85896,17.8092,1.00742,1.9023,0.0085,0.0538308,"no"
"2396","XLOC_002396","XLOC_002396","Pah","chr10:86984539-87046881","P0","Ad","OK",0,2.66068,Inf,NA,5e-05,0.00106929,"yes"
"2403","XLOC_002403","XLOC_002403","Arl1","chr10:88192285-88206839","P0","Ad","OK",35.2905,66.4243,0.91243,1.77843,0.00905,0.0562387,"no"
"2443","XLOC_002443","XLOC_002443","Dcn","chr10:96942244-96980777","P0","Ad","OK",92.5324,316.701,1.77509,3.51323,5e-05,0.00106929,"yes"
"2454","XLOC_002454","XLOC_002454","Kitl","chr10:99478263-99563047","P0","Ad","OK",11.5386,23.5158,1.02716,1.86373,0.0036,0.0304482,"yes"
"2513","XLOC_002513","XLOC_002513","Ptprb","chr10:115712578-115826594","P0","Ad","OK",7.13271,19.6402,1.46129,2.7245,5e-05,0.00106929,"yes"
"2531","XLOC_002531","XLOC_002531","Tmbim4","chr10:119578703-119661973","P0","Ad","OK",51.9329,114.014,1.13449,2.04494,0.0038,0.0317067,"yes"
"2542","XLOC_002542","XLOC_002542","Gns","chr10:120802145-120834301","P0","Ad","OK",18.9016,39.1797,1.0516,2.15968,0.0023,0.0221194,"yes"
"2595","XLOC_002595","XLOC_002595","Cs","chr10:127774887-127799535","P0","Ad","OK",282.408,806.13,1.51323,2.67771,0.00015,0.00273203,"yes"
"2610","XLOC_002610","XLOC_002610","Itga7","chr10:128370868-128398044","P0","Ad","OK",7.63543,71.5379,3.22793,6.32886,5e-05,0.00106929,"yes"
"2698","XLOC_002698","XLOC_002698","Gm8355","chr10:14465083-14467190","P0","Ad","OK",1.55215,9.48057,2.61071,2.9872,9e-04,0.0109843,"yes"
"2759","XLOC_002759","XLOC_002759","Hint3","chr10:30327946-30338285","P0","Ad","OK",12.0567,37.273,1.6283,2.39269,0.0021,0.0206706,"yes"
"2801","XLOC_002801","XLOC_002801","Amd1","chr10:40007264-40021992","P0","Ad","OK",5.7918,22.1691,1.93647,3.39798,5e-05,0.00106929,"yes"
"2810","XLOC_002810","XLOC_002810","Armc2","chr10:41634795-41738248","P0","Ad","OK",0.752843,5.90821,2.9723,2.36575,0.00035,0.00529761,"yes"
"2826","XLOC_002826","XLOC_002826","Qrsl1","chr10:43593993-43621551","P0","Ad","OK",12.1295,26.4339,1.12387,1.96087,0.00525,0.0396478,"yes"
"2878","XLOC_002878","XLOC_002878","Ddit4","chr10:59412422-59414518","P0","Ad","OK",15.4216,52.8758,1.77765,3.37411,5e-05,0.00106929,"yes"
"2901","XLOC_002901","XLOC_002901","Srgn","chr10:61956580-61990199","P0","Ad","OK",4.3595,31.56,2.85586,3.3777,1e-04,0.00193782,"yes"
"2913","XLOC_002913","XLOC_002913","Mypn","chr10:62578542-62666700","P0","Ad","OK",13.3859,49.4201,1.88438,3.85702,5e-05,0.00106929,"yes"
"2940","XLOC_002940","XLOC_002940","Cisd1","chr10:70793227-70807702","P0","Ad","OK",57.0216,201.922,1.82422,3.67242,5e-05,0.00106929,"yes"
"2944","XLOC_002944","XLOC_002944","Gm6419","chr10:74325732-74326164","P0","Ad","OK",3.40686,28.7662,3.07786,2.95832,0.00445,0.0353888,"yes"
"2952","XLOC_002952","XLOC_002952","Ddt,Gm20441,Gstt3","chr10:75233974-75244159","P0","Ad","OK",16.926,51.1479,1.59543,2.36896,0.00245,0.0231555,"yes"
"2985","XLOC_002985","XLOC_002985","D10Jhu81e","chr10:77624811-77632513","P0","Ad","OK",65.7703,266.478,2.01851,4.12315,5e-05,0.00106929,"yes"
"2987","XLOC_002987","XLOC_002987","Trappc10","chr10:77649469-77707387","P0","Ad","OK",8.79438,17.3932,0.983871,1.98046,0.0048,0.0374816,"yes"
"3022","XLOC_003022","XLOC_003022","Adamtsl5","chr10:79801854-79811157","P0","Ad","OK",11.2672,44.7854,1.9909,3.11115,1e-04,0.00193782,"yes"
"3025","XLOC_003025","XLOC_003025","Uqcr11","chr10:79865741-79869575","P0","Ad","OK",546.478,1108.12,1.01988,2.09543,0.0034,0.0292252,"yes"
"3039","XLOC_003039","XLOC_003039","Lingo3","chr10:80295551-80306784","P0","Ad","OK",1.18385,6.05317,2.35421,2.90202,5e-04,0.00709313,"yes"
"3094","XLOC_003094","XLOC_003094","Mterfd3","chr10:84582180-84590746","P0","Ad","OK",2.84466,14.9903,2.3977,3.0292,6e-04,0.00810028,"yes"
"3104","XLOC_003104","XLOC_003104","Fabp3-ps1","chr10:86168555-86239588","P0","Ad","OK",124.419,767.169,2.62434,3.15435,0.0054,0.0403951,"yes"
"3114","XLOC_003114","XLOC_003114","Chpt1","chr10:87915489-87966818","P0","Ad","OK",32.8039,216.567,2.72287,2.97567,5e-05,0.00106929,"yes"
"3157","XLOC_003157","XLOC_003157","Nudt4","chr10:95009640-95026801","P0","Ad","OK",87.847,210.252,1.25905,2.54389,5e-05,0.00106929,"yes"
"3227","XLOC_003227","XLOC_003227","Lyz2","chr10:116714389-116719377","P0","Ad","OK",7.36902,107.612,3.86823,6.30101,5e-05,0.00106929,"yes"
"3257","XLOC_003257","XLOC_003257","Rassf3","chr10:120847405-120913306","P0","Ad","OK",36.9554,83.8262,1.18162,2.40933,0.001,0.0118199,"yes"
"3302","XLOC_003302","XLOC_003302","Coq10a","chr10:127800152-127807088","P0","Ad","OK",15.8206,102.822,2.70027,5.28815,5e-05,0.00106929,"yes"
"3316","XLOC_003316","XLOC_003316","Suox","chr10:128106942-128110974","P0","Ad","OK",5.5639,14.1084,1.34238,2.21624,0.00205,0.0202906,"yes"
"3379","XLOC_003379","XLOC_003379","Dusp18","chr11:3795242-3801299","P0","Ad","OK",7.50303,22.336,1.57383,3.0794,1e-04,0.00193782,"yes"
"3420","XLOC_003420","XLOC_003420","Ogdh","chr11:6191635-6256645","P0","Ad","OK",217.602,796.03,1.87113,2.95382,5e-05,0.00106929,"yes"
"3429","XLOC_003429","XLOC_003429","Adcy1","chr11:6963491-7078509","P0","Ad","OK",0.449613,1.6839,1.90505,2.35339,0.0031,0.0274756,"yes"
"3461","XLOC_003461","XLOC_003461","Akt2-ps","chr11:16414535-16415984","P0","Ad","OK",5.69082,16.8631,1.56716,2.26034,0.0027,0.0249229,"yes"
"3559","XLOC_003559","XLOC_003559","Psme4","chr11:30671725-30780361","P0","Ad","OK",28.5584,144.477,2.33885,3.10525,5e-05,0.00106929,"yes"
"3571","XLOC_003571","XLOC_003571","Hba-a1","chr11:32183510-32184465","P0","Ad","OK",349.704,873.456,1.3206,2.66646,2e-04,0.00339928,"yes"
"3573","XLOC_003573","XLOC_003573","Hba-a2","chr11:32196488-32197301","P0","Ad","OK",12.4654,127.934,3.3594,4.25912,5e-05,0.00106929,"yes"
"3617","XLOC_003617","XLOC_003617","Gm12141","chr11:41312177-41314411","P0","Ad","OK",18.7771,44.2337,1.23617,2.10852,0.00465,0.0365507,"yes"
"3666","XLOC_003666","XLOC_003666","Trim7","chr11:48638847-48666995","P0","Ad","OK",1.28761,18.4547,3.84122,2.20089,0.0032,0.0280823,"yes"
"3693","XLOC_003693","XLOC_003693","Gfpt2","chr11:49607679-49652115","P0","Ad","OK",2.06762,17.4728,3.07907,4.40931,5e-05,0.00106929,"yes"
"3728","XLOC_003728","XLOC_003728","Sar1b","chr11:51577188-51605427","P0","Ad","OK",45.3873,108.65,1.25933,2.52486,0.00025,0.00406943,"yes"
"3756","XLOC_003756","XLOC_003756","Irf1","chr11:53583515-53591876","P0","Ad","OK",4.45904,11.1414,1.32112,1.77138,0.00615,0.043601,"yes"
"3758","XLOC_003758","XLOC_003758","P4ha2","chr11:53913596-53945167","P0","Ad","OK",15.8415,40.4328,1.35182,1.99969,0.00185,0.0187275,"yes"
"3766","XLOC_003766","XLOC_003766","Fnip1","chr11:54251700-54331737","P0","Ad","OK",7.23481,18.5581,1.35902,2.58941,4e-04,0.0059161,"yes"
"3802","XLOC_003802","XLOC_003802","Igtp","chr11:58013057-58021093","P0","Ad","OK",1.73612,9.98381,2.52373,3.14094,3e-04,0.00470584,"yes"
"3803","XLOC_003803","XLOC_003803","Irgm2","chr11:58028529-58036282","P0","Ad","OK",0.993657,7.9405,2.99841,3.87106,1e-04,0.00193782,"yes"
"3856","XLOC_003856","XLOC_003856","4933439F18Rik","chr11:60214127-60264429","P0","Ad","OK",11.9143,30.2641,1.34491,2.3015,8e-04,0.010048,"yes"
"3871","XLOC_003871","XLOC_003871","Map2k3","chr11:60745534-60766313","P0","Ad","OK",13.736,46.0071,1.7439,3.19991,5e-05,0.00106929,"yes"
"3959","XLOC_003959","XLOC_003959","Per1","chr11:68908718-68923462","P0","Ad","OK",10.1813,19.3491,0.926346,1.82818,0.0083,0.0530121,"no"
"4011","XLOC_004011","XLOC_004011","Eno3","chr11:70470703-70476015","P0","Ad","OK",457.444,1093.9,1.25781,2.14685,0.0028,0.0255644,"yes"
"4012","XLOC_004012","XLOC_004012","Kif1c","chr11:70514049-70545466","P0","Ad","OK",57.0507,188.552,1.72465,3.16559,5e-05,0.00106929,"yes"
